type,review_score,total_reviews,review_bucket
Free,0.8044692737430168,179,50-200
Free,0.6533333333333333,300,200-1k
Free,0.8366606170598911,3306,1k-10k
Free,0.6161616161616161,99,50-200
Free,0.9571045576407506,373,200-1k
Free,0.37966101694915255,295,200-1k
Free,0.96875,128,50-200
Free,0.9276094276094277,1188,1k-10k
Free,0.6451612903225806,93,50-200
Free,0.9275862068965517,870,200-1k
Free,0.9386503067484663,163,50-200
Free,0.8297595841455491,1539,1k-10k
Free,0.586489252814739,4885,1k-10k
Free,0.8425414364640884,362,200-1k
Free,0.7195121951219512,738,200-1k
Free,0.6867469879518072,83,50-200
Free,0.8067510548523207,1185,1k-10k
Free,0.6574074074074074,216,200-1k
Free,0.8571428571428571,91,50-200
Free,0.6666666666666666,1002,1k-10k
Free,0.4444444444444444,72,50-200
Free,0.8406169665809768,389,200-1k
Free,0.7684563758389261,596,200-1k
Free,0.8421052631578947,57,50-200
Free,0.8333333333333334,78,50-200
Free,0.9461496048520492,5441,1k-10k
Free,0.5,60,50-200
Free,0.5510752688172043,372,200-1k
Free,0.6233766233766234,77,50-200
Free,0.8602150537634409,279,200-1k
Free,0.7230769230769231,65,50-200
Free,0.6923076923076923,52,50-200
Free,0.9145299145299145,117,50-200
Free,0.9600725952813067,551,200-1k
Free,0.614516129032258,1240,1k-10k
Free,0.5841059602649007,755,200-1k
Free,0.7430555555555556,144,50-200
Free,0.9166666666666666,120,50-200
Free,0.8658008658008658,231,200-1k
Free,0.5,158,50-200
Free,0.8600953895071543,629,200-1k
Free,0.6341463414634146,82,50-200
Free,0.9233870967741935,248,200-1k
Free,0.6384615384615384,260,200-1k
Free,0.6153846153846154,65,50-200
Free,0.6129032258064516,62,50-200
Free,0.9411764705882353,51,50-200
Free,0.845360824742268,97,50-200
Free,0.8498583569405099,706,200-1k
Free,0.8781793842034806,747,200-1k
Free,0.7794117647058824,136,50-200
Free,0.854112010950154,8767,1k-10k
Free,0.9307692307692308,260,200-1k
Free,0.8791666666666667,480,200-1k
Free,0.6470588235294118,51,50-200
Free,0.7970149253731343,335,200-1k
Free,0.7623762376237624,101,50-200
Free,0.7627118644067796,59,50-200
Free,0.7764705882352941,85,50-200
Free,0.9904438477333755,37986,10k+
Free,0.4774774774774775,111,50-200
Free,0.8283582089552238,402,200-1k
Free,0.7922769640479361,1502,1k-10k
Free,0.7625,80,50-200
Free,0.6193548387096774,155,50-200
Free,0.509090909090909,55,50-200
Free,0.95,60,50-200
Free,0.9444444444444444,108,50-200
Free,0.5675675675675675,111,50-200
Free,0.7454545454545455,110,50-200
Free,0.6885245901639344,61,50-200
Free,0.6204819277108434,3486,1k-10k
Free,0.5225718194254446,1462,1k-10k
Free,0.5508474576271186,236,200-1k
Free,0.7689858490566037,16960,10k+
Free,0.7287157287157288,693,200-1k
Free,0.8255059182894234,5238,1k-10k
Free,0.7223796033994334,353,200-1k
Free,0.983177570093458,2675,1k-10k
Free,0.7127659574468085,564,200-1k
Free,0.1509433962264151,53,50-200
Free,0.7222222222222222,792,200-1k
Free,0.509090909090909,55,50-200
Free,0.6866197183098591,284,200-1k
Free,0.7094447240395907,23844,10k+
Free,0.8456375838926175,447,200-1k
Free,0.7515151515151515,165,50-200
Free,0.7976190476190477,84,50-200
Free,0.7365853658536585,205,200-1k
Free,0.9191919191919192,297,200-1k
Free,0.799021987930915,28834,10k+
Free,0.7966101694915254,59,50-200
Free,0.8734034560480841,2662,1k-10k
Free,0.45454545454545453,88,50-200
Free,0.7312435765673175,7784,1k-10k
Free,0.7389106327462491,6132,1k-10k
Free,0.944674444862627,2657,1k-10k
Free,0.7954329210275928,1051,1k-10k
Free,0.925,280,200-1k
Free,0.8523836875358989,1741,1k-10k
Free,0.9800460475825019,1303,1k-10k
Free,0.8696808510638298,376,200-1k
Free,0.8647434038851841,6898,1k-10k
Free,0.870434183321847,1451,1k-10k
Free,0.9200732153752288,1639,1k-10k
Free,0.8350515463917526,97,50-200
Free,0.8313016122689737,2543,1k-10k
Free,0.6086956521739131,92,50-200
Free,0.6237980769230769,832,200-1k
Free,0.9017857142857143,112,50-200
Free,0.7539863325740319,439,200-1k
Free,0.9706572208127902,41782,10k+
Free,0.492,500,200-1k
Free,0.810554290053151,2634,1k-10k
Free,0.4531615925058548,854,200-1k
Free,0.6202749140893471,2328,1k-10k
Free,0.8311688311688312,77,50-200
Free,0.8135593220338984,59,50-200
Free,0.9305298421934233,11343,10k+
Free,0.7910447761194029,8978,1k-10k
Free,0.9491525423728814,59,50-200
Free,0.328125,64,50-200
Free,0.8825757575757576,264,200-1k
Free,0.8414025310577035,8613,1k-10k
Free,0.8590163934426229,305,200-1k
Free,0.819672131147541,61,50-200
Free,0.8768844221105527,398,200-1k
Free,0.9038461538461539,156,50-200
Free,0.9383429672447013,519,200-1k
Free,0.4105263157894737,95,50-200
Free,0.8130019863090325,473743,10k+
Free,0.66,50,50-200
