Name,Release date,Estimated owners,Peak CCU,Price,Positive,Negative,Metacritic score,Genres,total_reviews,review_score,price_band
Supipara - Chapter 1 Spring Has Come!,"Jul 29, 2016",0 - 20000,0,5.24,252,3,0,Adventure,255,0.9882352941176471,$5-10
Armored Brigade II,"Apr 8, 2025",0 - 20000,8,35.99,117,13,0,"Simulation,Strategy",130,0.9,$30-40
OMNIMUS,"Sep 25, 2019",0 - 20000,0,0.99,47,6,0,"Adventure,Indie",53,0.8867924528301887,Under $5
Fantasy General II,"Sep 5, 2019",100000 - 200000,13,13.99,1025,210,80,Strategy,1235,0.8299595141700404,$10-20
"Forests, Fields and Fortresses","Apr 5, 2023",0 - 20000,0,1.49,64,2,0,"Casual,Indie",66,0.9696969696969697,Under $5
Redline,"Oct 23, 2014",0 - 20000,0,1.04,74,35,0,"Action,Racing",109,0.6788990825688074,Under $5
Evertried,"Oct 21, 2021",0 - 20000,0,5.99,55,14,0,"Indie,Strategy",69,0.7971014492753623,$5-10
Bad North: Jotunn Edition,"Nov 16, 2018",500000 - 1000000,64,2.99,11367,831,0,"Action,Indie,Simulation",12198,0.9318740777176586,Under $5
COGEN: Sword of Rewind / COGEN: 大鳥こはくと刻の剣,"Jan 26, 2022",20000 - 50000,0,12.49,75,34,0,Action,109,0.6880733944954128,$10-20
Wizard Shrimp,"Dec 13, 2024",0 - 20000,1,2.99,95,2,0,"Action,Casual,Indie",97,0.979381443298969,Under $5
The Metronomicon: Slay The Dance Floor,"Sep 29, 2016",20000 - 50000,1,4.99,330,65,79,"Action,Indie,RPG",395,0.8354430379746836,Under $5
I fell from Grace,"Dec 20, 2017",0 - 20000,0,0.79,54,22,62,"Adventure,Indie",76,0.7105263157894737,Under $5
Evan's Remains,"Jun 11, 2020",200000 - 500000,2,1.39,1637,230,75,"Adventure,Casual,Indie",1867,0.8768077129084092,Under $5
Zero-G Gunfight,"Feb 16, 2023",0 - 20000,0,2.49,59,2,0,Indie,61,0.9672131147540983,Under $5
Eastshade,"Feb 13, 2019",100000 - 200000,3,9.99,4608,549,78,"Adventure,Indie",5157,0.893542757417103,$5-10
Shadow of the Tomb Raider: Definitive Edition,"Sep 14, 2018",0 - 20000,0,4.0,13036,4825,77,"Action,Adventure",17861,0.7298583505962712,Under $5
New kind of adventure,"Jun 4, 2015",500000 - 1000000,0,0.99,632,881,0,"Adventure,Indie,RPG,Early Access",1513,0.41771315267680104,Under $5
Museum No.9,"Feb 9, 2025",0 - 20000,0,4.99,160,49,0,"Adventure,Indie,RPG,Simulation,Strategy",209,0.7655502392344498,Under $5
Chasing Tails ~A Promise in the Snow~,"Aug 13, 2021",100000 - 200000,29,1.59,3624,297,0,Adventure,3921,0.9242540168324407,Under $5
Natsu no Sagashimono ~What We Found That Summer~,"Sep 27, 2024",20000 - 50000,16,11.99,687,92,0,"Casual,RPG",779,0.8818998716302953,$10-20
Touhou Bunkachou ～ Shoot the Bullet.,"Jun 18, 2021",50000 - 100000,0,10.99,84,3,0,"Action,Indie",87,0.9655172413793104,$10-20
The Deep Paths: Labyrinth Of Andokost,"Oct 26, 2016",20000 - 50000,0,1.49,74,52,0,RPG,126,0.5873015873015873,Under $5
Cat Quest II,"Sep 24, 2019",200000 - 500000,44,3.74,6092,273,76,"Action,Adventure,Indie,RPG",6365,0.9571091908876669,Under $5
March of Industry: Very Capitalist Factory Simulator Entertainments,"Oct 7, 2015",0 - 20000,0,2.49,26,52,0,"Indie,Simulation,Strategy",78,0.3333333333333333,Under $5
Alone in the Dark: The New Nightmare,"Oct 29, 2013",20000 - 50000,1,1.74,437,185,66,"Action,Adventure",622,0.702572347266881,Under $5
Foto Flash 2,"Sep 6, 2018",0 - 20000,0,2.99,40,20,0,"Sexual Content,Nudity,Adventure,Indie",60,0.6666666666666666,Under $5
Darkness Under My Bed,"Feb 19, 2021",0 - 20000,0,1.19,77,7,0,"Adventure,Indie",84,0.9166666666666666,Under $5
Lost World,"Feb 5, 2023",0 - 20000,0,2.99,155,115,0,"Action,Adventure,Simulation",270,0.5740740740740741,Under $5
Time Splatter,"Nov 19, 2018",0 - 20000,0,0.99,56,24,0,"Action,Indie",80,0.7,Under $5
it's always monday,"Nov 22, 2016",200000 - 500000,0,1.39,228,61,0,"Adventure,Indie,Simulation",289,0.7889273356401384,Under $5
Blood of Magic,"Dec 18, 2015",50000 - 100000,0,9.99,30,45,0,"Adventure,Indie,RPG,Simulation,Strategy,Early Access",75,0.4,$5-10
Talewind,"Sep 22, 2016",20000 - 50000,0,0.89,61,45,0,"Action,Adventure,Indie",106,0.5754716981132075,Under $5
Nancy Drew®: Danger by Design,"Oct 10, 2009",20000 - 50000,6,6.49,129,27,70,Adventure,156,0.8269230769230769,$5-10
Soulestination,"Jan 5, 2021",100000 - 200000,1,1.34,538,47,0,"Adventure,Indie,RPG,Strategy",585,0.9196581196581196,Under $5
Amigo: Kebab Simulator,"Apr 3, 2023",0 - 20000,0,7.69,114,52,0,Simulation,166,0.6867469879518072,$5-10
PAYDAY 3,"Sep 21, 2023",2000000 - 5000000,644,14.99,25497,33195,66,"Action,Adventure,RPG",58692,0.4344203639337559,$10-20
The Happy Hereafter,"Jun 5, 2014",200000 - 500000,2,0.99,334,91,0,"Casual,Strategy",425,0.7858823529411765,Under $5
Dungeon's Legion,"Oct 13, 2023",20000 - 50000,6,15.99,474,64,0,"Adventure,Casual,Indie,RPG",538,0.8810408921933085,$10-20
SpriteStack,"Jul 15, 2019",0 - 20000,0,29.99,56,39,0,"Animation & Modeling,Design & Illustration,Game Development",95,0.5894736842105263,$20-30
Happy Empire - A Bouquet for the Princess,"Jan 14, 2018",0 - 20000,0,4.99,47,30,0,"Adventure,Casual,Indie,Simulation,Strategy",77,0.6103896103896104,Under $5
Reanimation Inc.,"Nov 1, 2019",0 - 20000,1,9.99,100,19,0,"Indie,Simulation",119,0.8403361344537815,$5-10
True Game,"May 24, 2021",50000 - 100000,0,7.99,45,6,0,"Adventure,Casual,Indie,RPG,Strategy",51,0.8823529411764706,$5-10
Fuel Station Simulator,"May 8, 2025",0 - 20000,0,6.99,38,19,0,"Action,Adventure,Indie,Simulation",57,0.6666666666666666,$5-10
Heroic Armored Company,"Aug 20, 2020",0 - 20000,1,16.99,107,81,0,"Action,Adventure,Casual,Indie,Racing,Simulation,Early Access",188,0.5691489361702128,$10-20
Last Heroes 4,"Apr 14, 2017",50000 - 100000,1,0.99,33,17,0,"Adventure,Casual,Indie,RPG,Strategy",50,0.66,Under $5
Quest Master,"May 29, 2024",0 - 20000,19,14.99,310,9,0,"Action,Adventure,Indie,Early Access",319,0.9717868338557993,$10-20
Last Heroes 2,"Jan 22, 2016",50000 - 100000,0,0.99,45,22,0,"Adventure,Casual,Indie,RPG",67,0.6716417910447762,Under $5
Ghost in the pool,"Jan 27, 2021",50000 - 100000,1,1.99,255,78,0,"Adventure,Indie",333,0.7657657657657657,Under $5
Skator Gator 3D,"Aug 31, 2023",0 - 20000,0,1.99,172,6,0,"Action,Adventure,Indie,Sports",178,0.9662921348314607,Under $5
Desperados: Wanted Dead or Alive,"Nov 20, 2013",200000 - 500000,20,1.24,1958,268,78,"Action,Strategy",2226,0.8796046720575023,Under $5
IT Simulator,"Jun 1, 2022",0 - 20000,1,3.49,140,12,0,Adventure,152,0.9210526315789473,Under $5
Creeper World 2: Anniversary Edition,"Nov 16, 2016",50000 - 100000,22,2.49,414,45,0,"Indie,Simulation,Strategy",459,0.9019607843137255,Under $5
Aery VR - A Journey Beyond Time,"Mar 24, 2023",0 - 20000,0,4.99,60,6,0,"Casual,Indie,Simulation",66,0.9090909090909091,Under $5
Battlefield™ 2042,"Nov 19, 2021",10000000 - 20000000,2774,59.99,139186,158588,0,"Action,Adventure,Casual",297774,0.4674216016173339,$40-70
Thermo Sudoku,"May 25, 2020",0 - 20000,3,4.99,148,7,0,"Casual,Indie,Strategy",155,0.9548387096774194,Under $5
Baldur's Gate: Dark Alliance II,"Jul 20, 2022",0 - 20000,7,27.99,476,111,0,"Action,RPG",587,0.8109028960817717,$20-30
Rift Riff,"May 9, 2025",0 - 20000,7,9.09,203,3,0,"Action,Indie,Strategy",206,0.9854368932038835,$5-10
Heist Kitty: Multiplayer Cat Simulator Game,"Jun 13, 2023",0 - 20000,0,4.49,63,23,0,"Action,Adventure,Casual,Indie,Racing,RPG,Simulation",86,0.7325581395348837,Under $5
Isle of Swaps,"Sep 27, 2024",0 - 20000,2,9.74,118,8,0,"Indie,RPG,Strategy",126,0.9365079365079365,$5-10
Marooners,"Sep 15, 2016",100000 - 200000,0,1.99,433,243,70,"Action,Casual,Indie",676,0.6405325443786982,Under $5
PAPER FIRE ROOKIE (Formerly Paperville Panic),"Sep 19, 2018",0 - 20000,0,9.99,43,16,0,"Action,Adventure,Casual,Indie,Simulation",59,0.7288135593220338,$5-10
Flintlock: The Siege of Dawn,"Jul 17, 2024",20000 - 50000,16,9.99,837,267,0,"Action,Adventure,RPG",1104,0.7581521739130435,$5-10
Uprising: Join or Die,"May 19, 2016",0 - 20000,1,1.39,82,16,0,"Action,Strategy",98,0.8367346938775511,Under $5
Gaming Copilot: AI Companion,"Jan 28, 2025",0 - 20000,6,4.39,54,26,0,"Indie,Utilities",80,0.675,Under $5
BIOMORPH,"Apr 5, 2024",20000 - 50000,4,12.99,520,42,0,"Action,Adventure",562,0.9252669039145908,$10-20
Farming & Supermarket Simulator,"Aug 31, 2025",0 - 20000,146,8.39,243,25,0,"Adventure,Casual,Indie,Simulation",268,0.9067164179104478,$5-10
Bloodhound,"Jul 18, 2023",50000 - 100000,0,2.99,248,115,0,"Action,Indie",363,0.6831955922865014,Under $5
18 Wheels of Steel: Pedal to the Metal,"Jun 5, 2020",0 - 20000,2,4.49,82,9,0,Simulation,91,0.9010989010989011,Under $5
I Can't Believe It's Not Gambling,"Dec 11, 2017",0 - 20000,9,0.54,1499,140,0,"Casual,Simulation",1639,0.9145820622330689,Under $5
Injustice: Gods Among Us Ultimate Edition,"Nov 12, 2013",1000000 - 2000000,69,2.99,16534,2651,79,Action,19185,0.8618191295282773,Under $5
UFO 50,"Sep 18, 2024",100000 - 200000,163,18.74,5982,267,91,"Action,Adventure,Indie,RPG,Strategy",6249,0.957273163706193,$10-20
Ramen Oil Pecking Simulator,"Jun 22, 2023",0 - 20000,0,0.99,173,32,0,"Casual,Indie,Simulation",205,0.8439024390243902,Under $5
Castaway of the Ardusta Sea,"Jul 8, 2022",20000 - 50000,0,7.49,77,20,0,"Action,Adventure,Indie,RPG",97,0.7938144329896907,$5-10
STAR WARS™ Jedi Knight II - Jedi Outcast™,"Sep 16, 2009",500000 - 1000000,40,4.99,4281,413,89,Action,4694,0.912015338730294,Under $5
Trivia Night,"May 9, 2022",50000 - 100000,5,0.49,45,29,0,"Casual,Indie",74,0.6081081081081081,Under $5
Kamifuda,"Sep 13, 2022",0 - 20000,1,4.39,117,15,0,"Indie,Strategy",132,0.8863636363636364,Under $5
Tiny Kingdom,"Jan 30, 2025",0 - 20000,3,7.69,85,23,0,"Casual,Indie,Simulation,Strategy",108,0.7870370370370371,$5-10
Savior of the Abyss,"Aug 12, 2021",50000 - 100000,0,3.84,193,58,0,Adventure,251,0.7689243027888446,Under $5
Sketch Tales,"Sep 28, 2015",0 - 20000,0,1.0,93,47,0,"Action,Adventure,Indie,RPG,Early Access",140,0.6642857142857143,Under $5
My Little Sister's Special Place,"Jun 26, 2023",0 - 20000,0,7.49,88,4,0,Adventure,92,0.9565217391304348,$5-10
The Book of Legends,"Mar 14, 2014",50000 - 100000,0,0.99,191,94,0,"Adventure,Indie,RPG",285,0.6701754385964912,Under $5
Showbiz Tycoon,"Feb 25, 2022",0 - 20000,2,7.69,49,13,0,"Indie,Simulation,Strategy,Early Access",62,0.7903225806451613,$5-10
Return to Shironagasu Island,"Mar 2, 2020",100000 - 200000,11,2.24,3317,206,0,Adventure,3523,0.9415271075787681,Under $5
Cats War,"Nov 16, 2021",0 - 20000,0,2.49,356,45,0,"Action,Adventure,Indie",401,0.8877805486284289,Under $5
